ID	homework	lab	midterm	final
1016807	89.0	93.0	78.0	50.0
1211272	84.0	78.0	23.0	59.0
1564440	85.0	82.0	22.0	37.0
1522503	87.0	89.0	60.0	82.0
1544303	89.0	79.0	57.0	80.0
1570933	99.0	88.0	76.0	95.0
1899097	86.0	72.0	87.0	80.0
1877633	99.0	89.0	39.0	41.0
1511967	92.0	83.0	76.0	95.0
1091745	88.0	71.0	54.0	67.0
1035001	93.0	98.0	44.0	58.0
1571490	84.0	96.0	30.0	93.0
1727722	86.0	79.0	44.0	31.0
1806853	97.0	88.0	88.0	33.0
1260298	81.0	95.0	33.0	65.0
1389814	83.0	76.0	85.0	49.0
1724115	94.0	79.0	41.0	87.0
1934195	85.0	84.0	31.0	68.0
1782188	83.0	75.0	22.0	42.0
1731566	96.0	97.0	58.0	54.0
1851501	97.0	81.0	88.0	57.0
1619358	97.0	97.0	74.0	64.0
1621609	91.0	75.0	35.0	75.0
1266298	82.0	89.0	68.0	72.0
1400260	97.0	94.0	28.0	95.0
1325968	93.0	80.0	66.0	42.0
1797942	85.0	92.0	32.0	87.0
1633821	95.0	92.0	91.0	81.0
1248590	91.0	78.0	37.0	96.0
1819790	80.0	89.0	75.0	56.0
1497972	98.0	85.0	59.0	54.0
1345223	89.0	90.0	45.0	76.0
1236123	86.0	93.0	70.0	58.0
1329094	80.0	84.0	66.0	94.0
1725226	94.0	83.0	38.0	34.0
1559590	90.0	79.0	83.0	77.0
1597385	97.0	72.0	39.0	87.0
1242385	96.0	95.0	83.0	90.0
1028144	88.0	95.0	95.0	45.0
1663534	82.0	81.0	59.0	32.0
1575244	95.0	78.0	96.0	62.0
1301815	91.0	93.0	49.0	77.0
1489553	87.0	75.0	30.0	72.0
1830211	88.0	77.0	61.0	45.0
1737335	88.0	75.0	76.0	97.0
1997439	94.0	91.0	96.0	51.0
1468872	80.0	84.0	44.0	85.0
1639789	87.0	85.0	53.0	79.0
1015680	95.0	85.0	86.0	53.0
1233502	96.0	98.0	69.0	81.0
1277844	98.0	88.0	97.0	91.0
1054849	83.0	81.0	71.0	74.0
1395419	95.0	99.0	40.0	99.0
1995223	94.0	80.0	37.0	75.0
1747317	85.0	90.0	36.0	84.0
1960597	88.0	94.0	50.0	70.0
1541976	92.0	74.0	97.0	74.0
1348381	88.0	85.0	38.0	79.0
1878209	89.0	73.0	63.0	97.0
1264607	93.0	72.0	85.0	86.0
1170053	84.0	80.0	66.0	80.0
1660444	90.0	85.0	76.0	98.0
1608155	93.0	87.0	36.0	88.0
1658266	97.0	71.0	58.0	64.0
1474819	97.0	93.0	51.0	60.0
1048762	93.0	87.0	51.0	38.0
