ID	Hmk	Lab	Mid	Fin	TOTAL
XXX6807	89.0	93.0	78.0	50.0	70.9
XXX1272	84.0	78.0	23.0	59.0	65.3
XXX4440	85.0	82.0	22.0	37.0	50.8
XXX2503	87.0	89.0	60.0	82.0	83.9
XXX4303	89.0	79.0	57.0	80.0	80.7
XXX0933	99.0	88.0	76.0	95.0	94.0
XXX9097	86.0	72.0	87.0	80.0	81.1
XXX7633	99.0	89.0	39.0	41.0	56.4
XXX1967	92.0	83.0	76.0	95.0	92.3
XXX1745	88.0	71.0	54.0	67.0	69.9
XXX5001	93.0	98.0	44.0	58.0	69.5
XXX1490	84.0	96.0	30.0	93.0	92.7
XXX7722	86.0	79.0	44.0	31.0	50.0
XXX6853	97.0	88.0	88.0	33.0	66.9
XXX0298	81.0	95.0	33.0	65.0	72.6
XXX9814	83.0	76.0	85.0	49.0	68.6
XXX4115	94.0	79.0	41.0	87.0	86.1
XXX4195	85.0	84.0	31.0	68.0	72.9
XXX2188	83.0	75.0	22.0	42.0	52.7
XXX1566	96.0	97.0	58.0	54.0	68.0
XXX1501	97.0	81.0	88.0	57.0	75.1
XXX9358	97.0	97.0	74.0	64.0	76.9
XXX1609	91.0	75.0	35.0	75.0	76.6
XXX6298	82.0	89.0	68.0	72.0	76.4
XXX0260	97.0	94.0	28.0	95.0	95.0
XXX5968	93.0	80.0	66.0	42.0	61.9
XXX7942	85.0	92.0	32.0	87.0	87.8
XXX3821	95.0	92.0	91.0	81.0	87.6
XXX8590	91.0	78.0	37.0	96.0	91.9
XXX9790	80.0	89.0	75.0	56.0	70.7
XXX7972	98.0	85.0	59.0	54.0	66.1
XXX5223	89.0	90.0	45.0	76.0	80.1
XXX6123	86.0	93.0	70.0	58.0	71.4
XXX9094	80.0	84.0	66.0	94.0	90.6
XXX5226	94.0	83.0	38.0	34.0	51.0
XXX9590	90.0	79.0	83.0	77.0	80.5
XXX7385	97.0	72.0	39.0	87.0	85.0
XXX2385	96.0	95.0	83.0	90.0	91.6
XXX8144	88.0	95.0	95.0	45.0	74.3
XXX3534	82.0	81.0	59.0	32.0	54.9
XXX5244	95.0	78.0	96.0	62.0	78.7
XXX1815	91.0	93.0	49.0	77.0	81.6
XXX9553	87.0	75.0	30.0	72.0	74.1
XXX0211	88.0	77.0	61.0	45.0	60.5
XXX7335	88.0	75.0	76.0	97.0	91.7
XXX7439	94.0	91.0	96.0	51.0	76.8
XXX8872	80.0	84.0	44.0	85.0	84.3
XXX9789	87.0	85.0	53.0	79.0	81.0
XXX5680	95.0	85.0	86.0	53.0	73.5
XXX3502	96.0	98.0	69.0	81.0	85.9
XXX7844	98.0	88.0	97.0	91.0	92.9
XXX4849	83.0	81.0	71.0	74.0	76.3
XXX5419	95.0	99.0	40.0	99.0	98.6
XXX5223	94.0	80.0	37.0	75.0	77.9
XXX7317	85.0	90.0	36.0	84.0	85.3
XXX0597	88.0	94.0	50.0	70.0	76.6
XXX1976	92.0	74.0	97.0	74.0	82.7
XXX8381	88.0	85.0	38.0	79.0	81.1
XXX8209	89.0	73.0	63.0	97.0	91.4
XXX4607	93.0	72.0	85.0	86.0	83.9
XXX0053	84.0	80.0	66.0	80.0	80.4
XXX0444	90.0	85.0	76.0	98.0	94.6
XXX8155	93.0	87.0	36.0	88.0	88.3
XXX8266	97.0	71.0	58.0	64.0	68.7
XXX4819	97.0	93.0	51.0	60.0	70.3
XXX8762	93.0	87.0	51.0	38.0	57.2
XXX0589	93.0	97.0	44.0	38.0	57.1
XXX1200	94.0	90.0	55.0	67.0	74.3
XXX5480	90.0	85.0	86.0	77.0	82.6
XXX1238	80.0	86.0	95.0	37.0	68.5
XXX1113	94.0	93.0	20.0	44.0	58.8
XXX8418	97.0	85.0	69.0	75.0	79.2
XXX6563	82.0	77.0	23.0	39.0	50.9
XXX2967	87.0	99.0	55.0	63.0	72.6
XXX4473	83.0	88.0	85.0	58.0	74.6
XXX3459	86.0	90.0	84.0	42.0	68.6
XXX0973	83.0	97.0	20.0	30.0	48.7
XXX5231	80.0	83.0	80.0	90.0	87.6
XXX2533	98.0	93.0	56.0	50.0	65.2
XXX3934	80.0	89.0	92.0	74.0	83.0
XXX3549	82.0	99.0	71.0	30.0	61.3
XXX5879	83.0	80.0	60.0	63.0	68.4
XXX3650	91.0	79.0	98.0	66.0	80.7
XXX0299	90.0	71.0	76.0	74.0	75.6
XXX8244	98.0	76.0	71.0	34.0	59.9
XXX1560	98.0	91.0	40.0	43.0	58.1
XXX9551	81.0	75.0	60.0	48.0	60.3
XXX9274	89.0	73.0	60.0	55.0	63.5
XXX2012	83.0	98.0	57.0	68.0	75.5
XXX1550	84.0	85.0	77.0	41.0	64.9
XXX5690	86.0	90.0	53.0	33.0	55.7
XXX9565	80.0	72.0	63.0	52.0	62.1
XXX7307	81.0	90.0	20.0	99.0	95.4
XXX3127	91.0	97.0	34.0	45.0	60.0
XXX6641	97.0	78.0	22.0	55.0	63.8
XXX5974	85.0	93.0	80.0	51.0	71.5
XXX9239	94.0	95.0	69.0	73.0	79.5
XXX4189	86.0	96.0	44.0	90.0	90.8
XXX5898	92.0	70.0	56.0	40.0	56.0
XXX8867	92.0	89.0	78.0	81.0	83.7
XXX0811	96.0	81.0	51.0	58.0	66.4
